component,term,weight
2,convertir,0.007409
2,convulsion,0.0009
2,corporal,0.007475
2,correr,0.007818
2,cosa,0.000333
2,costilla,-0.000136
2,crecer,0.015123
2,crecimiento,0.000552
2,creer,-0.004886
2,cromosomar,0.000276
2,cronico,0.001038
2,cuanto,0.000317
2,cuatro,0.000276
2,cuello,-0.003319
2,cuello_uterino,0.000518
2,cuero,-0.010765
2,curar,0.029163
2,cushing,0.0012
2,cutaneo,-0.010851
2,debajo,0.009223
2,debido,0.000955
2,debilitado,-0.02145
2,decision,0.0147
2,dejar,0.007673
2,delgado,0.000211
2,demasiado,0.000582
2,demostrado,0.014673
2,denominado,-0.005469
2,denominar,0.000564
2,dentro,0.000576
2,derecho,0.000464
2,derivar,-0.005264
2,desafortunadamente,0.007317
2,desaparecer,0.000626
2,desarrollado,0.000184
2,desarrollar,-0.003172
2,descargar,0.000265
2,descomponer,0.000219
2,descripcion,0.002013
2,descubrir,0.000497
2,desear,0.014608
2,despacio,0.007554
2,destruir,-0.003226
2,detecto,0.029163
2,determinacion,0.000565
2,determinado,0.009304
2,determinar,0.015537
2,diabet,0.000287
2,diabetes,-0.000272
2,diagnosticar,0.000484
2,diar,0.000619
2,diario,0.000527
2,diarrea,0.001318
2,dietilestilbestrol,5.3e-05
2,diferenciacion,0.000184
2,diferenciar,0.007567
2,diferente,0.009765
2,dificil,0.007409
2,dificultad,0.030294
2,dificultad_orinar,0.058326
2,dificultad_respirar,0.002399
2,dificultar,-0.005451
2,digestion,0.000184
2,digestivo,0.000791
2,digital,0.002172
2,dirigido,0.000845
2,disemin,0.045916
2,diseminir,0.001908
2,disenado,0.000392
2,disfuncion,0.021872
2,disminuir,0.000289
2,distante,0.0006
2,distinto,0.000947
2,diverso,0.014792
2,dividir,0.000132
2,division,0.001012
2,dolor,0.018022
2,dolor_abdominal,0.001887
2,dolor_espalda,0.028754
2,dolor_mama,-0.000431
2,dolor_pecho,0.002099
2,dolor_pelvico,0.036613
2,dolor_sexual,0.000133
2,donir,0.0006
2,dos,-0.010264
2,dosis,0.00029
2,ecografia,0.007383
2,edicion,-0.010211
2,ejemplo,-0.004309
2,elegir,0.007554
2,elevado,0.000527
2,eliminar,0.014581
2,embarazo,5.3e-05
2,emitir,-0.010765
2,empeora,0.0006
2,empeorar,-0.000154
2,empezar,0.000554
2,empiez,0.007317
2,encargado,0.000392
2,encima,0.000333
2,endocrino,0.0009
2,energia,0.007341
2,enrojecimiento,-0.000241
2,entonces,0.007315
2,entrar,0.000392
2,envia,0.000184
2,epidermoidar,-0.010765
2,equilibrio,0.0006
2,ereccion,0.014581
2,erectil,0.021872
2,error,0.0006
2,escamos,-0.037571
2,escuchar,0.001908
2,esencial,0.007383
2,espalda,0.001936
2,especial,0.000119
2,especialmente,0.007223
2,especifico,0.015289
2,espontaneo,8e-05
2,esputo,0.0003
2,estadisticar,0.000265
2,esteroid,0.000184
2,estomago,0.001312
2,estrategia,0.007422
2,estrenimiento,0.001882
2,estrogeno,0.000184
2,estructura,0.000276
2,etapar,0.007383
2,etnico,0.014581
2,europa,0.000184
2,evitar,5.3e-05
2,evolucion,0.00021
2,examinar,0.00029
2,excesivo,0.000197
2,exceso,0.002198
2,experto,0.014581
2,explicacion,0.021812
2,exposicion,-0.005172
2,expuesto,-0.016121
2,extension,-3.5e-05
2,exterior,0.007383
2,externo,0.001935
2,extirpar,0.007344
2,extraido,0.000184
2,eyaculacion,0.029163
2,facilidad,-0.010728
2,falta_aire,0.0018
2,faltar,9.6e-05
2,familia,0.008486
2,family,-0.005092
2,fatigar,9.6e-05
2,fatigo,3.7e-05
2,femenino,0.000106
2,fibra,0.000791
2,fiebre,0.008026
2,fin,-0.008462
2,financiar,0.002303
2,fisico,0.014792
2,flujo,0.007344
2,flujo_vaginal,0.00016
2,formacion,0.000209
2,frecuencia,0.010152
2,fruta,0.015372
2,fuerte,-0.005291
2,fum,0.007317
2,fuma,0.014635
2,fumador,0.007317
2,fumar,0.022861
2,funcion,0.015159
2,funcionar,0.007685
2,ganglio,0.000977
2,gastrico,0.000296
2,generalmente,-0.003207
2,generar,0.007383
2,genetico,0.00758
2,glandular,0.000145
2,glandulo,0.058626
2,globulo,0.000874
2,gluco,0.000368
2,grado,0.021964
2,gradualmente,0.007591
2,gran,0.015053
2,grasa,0.000575
2,grasos,-0.000136
2,grueso,0.001054
2,habilidad,0.000184
2,habitar,0.007581
2,hablar,0.023289
2,hacia,-0.010869
2,haz,0.022479
2,hcc,0.001288
2,health,-0.002357
2,heces_claras,0.000552
2,hecho,0.007475
2,hellmar,0.0006
2,hematomar,0.000405
2,hepatitis,0.000852
2,hepatoblasto,0.000276
2,hepatoblastomar,0.00046
2,hepatocelular,0.000368
2,hepatocito,0.000276
2,heredar,0.007383
2,hereditario,0.000527
2,hermano,0.001908
2,hez,-1.1e-05
2,higado,0.003964
2,hijo,0.007383
2,hinchazon,0.00092
2,hinchazon_abdominal,0.000552
2,hinchazon_mama,-0.000431
2,hipercalcemiar,0.0006
2,hombr,0.007383
2,hombro,0.0006
2,hongo,0.000184
2,hora,-0.010765
2,hormona,0.016565
2,hormonar,0.0006
2,horner,0.0006
2,hueso,0.015286
2,humphreys,0.014581
2,ictericia,0.000191
2,ictericio,-0.000188
