document_id,term,frequency
7,normal,2
9,normal,1
7,normalidad,1
9,normalidad,1
4,normalmente,1
7,normalmente,1
8,normalmente,2
7,norte,2
3,nota,1
5,nota,1
7,notch,4
1,novedad,1
8,novedad,1
6,numero,1
7,numero,1
10,numero,3
10,nunca,2
3,nutrient,1
5,nutrient,1
3,obesidad,3
5,obesidad,4
7,obesidad,1
3,objetivo,1
10,objetivo,1
4,observar,1
8,observar,1
4,obstante,1
6,obstante,1
10,obstante,1
8,ocasion,2
10,ocasion,1
3,occidental,1
7,occidental,1
1,ocultar,1
6,ocultar,1
8,ocultar,1
1,ojo,3
4,ojo,1
6,ojo,1
8,ojo,2
10,olor,2
1,oncology,3
7,onda,2
3,oportunidad,1
4,oportunidad,1
5,oportunidad,1
9,oportunidad,1
10,oportunidad,1
4,oreja,4
5,org,1
10,org,1
7,organismo,2
9,organismo,1
10,organismo,1
1,organo,3
3,organo,1
4,organo,1
5,organo,2
7,organo,3
8,organo,2
5,origen,2
4,originar,1
8,originar,1
9,originar,1
1,orina,1
5,orina,21
8,orina,4
7,orina_oscura,6
8,orina_oscura,5
1,oscuro,1
4,oscuro,1
6,oscuro,1
8,oscuro,3
5,oseir,2
9,oseir,2
5,ovario,1
10,ovario,1
3,padecer,1
9,padecer,1
10,padecer,2
4,padre,1
5,padre,2
7,padre,1
6,pai,1
7,pai,2
7,palabra,2
1,paliativo,2
9,palidez,5
2,palpar,1
8,palpar,1
1,pancoast,3
7,pancreas,1
8,pancreas,85
10,papanicolaou,11
5,papel,1
7,papel,1
10,papel,1
1,paraneoplasico,10
4,parecer,3
7,parecer,1
9,parecer,1
10,pareja,4
3,pariente,1
4,pariente,1
5,pariente,2
5,participar,1
10,participar,1
5,partir,2
10,partir,1
1,pasar,1
8,pasar,2
9,pasar,2
5,paso,1
10,paso,1
7,patologico,4
7,patologo,2
3,patrocinio,1
4,patrocinio,1
5,patrocinio,1
9,patrocinio,1
10,patrocinio,1
1,pdf,1
6,pdf,1
8,pdf,1
1,pdq,2
4,peca,3
5,pecar,2
6,pecar,1
1,pecho,3
4,pecho,1
8,pecho,1
4,pedir,1
