term,doc_1,doc_2,doc_3,doc_4,doc_5,doc_6,doc_7,doc_8,doc_9,doc_10
estrogeno,0,0,0,0,0,0,2,0,0,0
estructura,0,0,0,0,0,0,3,0,0,0
etapar,0,0,0,0,1,0,1,0,0,0
etnico,0,0,0,0,2,0,0,0,0,0
europa,0,0,0,0,0,0,2,0,0,0
evitar,0,0,0,0,0,0,0,0,0,2
evolucion,0,0,0,0,0,0,0,0,2,0
examinar,0,0,1,0,0,0,0,0,0,1
excesivo,0,0,0,0,0,0,1,0,1,0
exceso,0,0,1,1,1,0,0,0,0,1
experto,0,0,0,0,2,0,0,0,0,0
explicacion,0,1,0,0,3,0,0,0,0,1
exposicion,0,0,0,1,0,0,2,0,0,1
expuesto,0,0,0,3,0,0,0,0,0,1
extension,0,0,0,0,0,1,0,1,0,0
exterior,0,0,0,0,1,0,1,0,0,0
externo,0,0,0,1,1,0,0,0,0,1
extirpar,0,0,0,0,1,0,0,0,0,2
extraido,0,0,0,0,0,0,2,0,0,0
eyaculacion,0,0,0,0,4,0,0,0,0,0
facilidad,0,0,0,2,0,0,0,1,1,0
falta_aire,6,0,0,0,0,0,0,0,0,0
faltar,1,0,0,0,0,0,0,3,0,0
familia,1,0,2,0,1,0,4,0,0,0
family,0,0,1,1,0,0,0,0,0,1
fatigar,1,0,0,0,0,0,0,3,0,0
fatigo,0,0,0,0,0,0,0,1,1,0
femenino,0,0,0,0,0,0,0,0,0,4
fibra,0,0,3,0,0,0,0,0,0,0
fiebre,0,0,0,0,1,0,0,0,7,0
fin,0,0,1,3,1,0,0,0,1,1
financiar,0,0,1,1,1,0,0,0,1,1
fisico,0,0,2,0,2,0,1,6,0,0
flujo,0,0,0,0,1,0,0,0,0,2
flujo_vaginal,0,0,0,0,0,0,0,0,0,6
formacion,0,2,0,0,0,0,3,0,1,0
frecuencia,3,1,0,1,2,0,3,2,0,0
fruta,0,0,3,0,2,0,0,0,0,0
fuerte,0,0,0,1,0,0,1,0,0,0
fum,0,0,0,0,1,0,0,0,0,1
fuma,0,0,0,0,2,0,0,0,0,2
fumador,0,0,0,0,1,0,0,0,0,1
fumar,0,0,3,0,3,0,1,0,0,4
funcion,0,0,0,0,2,0,4,0,2,0
funcionar,0,0,0,0,1,0,2,0,2,0
ganglio,2,4,0,0,0,0,1,0,6,0
gastrico,0,0,0,0,0,9,0,0,0,0
generalmente,0,0,0,2,1,1,3,1,0,1
generar,0,0,0,0,1,0,1,0,0,0
genetico,0,0,0,0,1,0,2,0,1,0
glandular,0,0,0,0,0,0,1,0,0,2
glandulo,1,0,0,0,8,0,0,0,0,0
globulo,0,0,0,0,0,1,0,0,8,0
gluco,0,0,0,0,0,0,4,0,0,0
grado,0,0,0,0,3,0,1,0,0,0
gradualmente,1,0,0,0,1,0,0,0,0,0
gran,0,0,1,0,2,0,3,1,0,0
grasa,0,0,2,0,0,0,2,2,0,0
grasos,0,0,0,0,0,0,0,2,0,0
grueso,0,0,4,0,0,0,0,0,0,0
habilidad,0,0,0,0,0,0,2,0,0,0
habitar,0,0,1,0,1,0,0,0,0,1
hablar,2,0,3,0,3,0,0,0,0,1
hacia,0,0,0,2,0,1,0,2,0,0
